Date,#,Positives,Negatives,Deaths
"Mar 01, 2020",1,0,0,0
"Mar 02, 2020",2,0,0,0
"Mar 03, 2020",3,0,0,0
"Mar 04, 2020",4,0,0,0
"Mar 05, 2020",5,1,0,0
"Mar 06, 2020",6,1,5,0
"Mar 07, 2020",7,1,5,0
"Mar 08, 2020",8,1,8,0
"Mar 09, 2020",9,1,10,0
"Mar 10, 2020",10,2,14,0
"Mar 11, 2020",11,5,21,0
"Mar 12, 2020",12,7,41,0
"Mar 13, 2020",13,10,100,0
"Mar 14, 2020",14,12,147,0
"Mar 15, 2020",15,16,229,0
"Mar 16, 2020",16,32,363,0
"Mar 17, 2020",17,53,551,0
"Mar 18, 2020",18,78,778,0
"Mar 19, 2020",19,134,1066,0
"Mar 20, 2020",20,168,1341,0
"Mar 21, 2020",21,194,1513,0
"Mar 22, 2020",22,223,1621,0
"Mar 23, 2020",23,257,1811,1
"Mar 24, 2020",24,302,2033,4
"Mar 25, 2020",25,357,2264,5
"Mar 26, 2020",26,423,2518,6
"Mar 27, 2020",27,498,2767,6
"Mar 28, 2020",28,548,2886,7
"Mar 29, 2020",29,593,2964,7
"Mar 30, 2020",30,693,3185,8
"Mar 31, 2020",31,792,3402,9
"Apr 01, 2020",32,899,3636,12
"Apr 02, 2020",33,999,3838,18
"Apr 03, 2020",34,1128,4106,20
"Apr 04, 2020",35,1194,4214,23
"Apr 05, 2020",36,1253,4299,27
"Apr 06, 2020",37,1376,4523,31
"Apr 07, 2020",38,1512,4759,36
"Apr 08, 2020",39,1677,4987,38
"Apr 09, 2020",40,1784,5164,48
"Apr 10, 2020",41,1912,5358,52
"Apr 11, 2020",42,1988,5439,62
"Apr 12, 2020",43,2034,5484,75
"Apr 13, 2020",44,2157,5610,83
"Apr 14, 2020",45,2346,5872,97
"Apr 15, 2020",46,2541,6103,106
"Apr 16, 2020",47,2741,6359,118
"Apr 17, 2020",48,2878,6598,134
"Apr 18, 2020",49,2970,6763,147
"Apr 19, 2020",50,3025,6835,164
"Apr 20, 2020",51,3210,7113,177
"Apr 21, 2020",52,3357,7315,193
"Apr 22, 2020",53,3530,7681,213
"Apr 23, 2020",54,3728,8004,228
"Apr 24, 2020",55,3922,8339,251
"Apr 25, 2020",56,3985,8521,280
"Apr 26, 2020",57,4032,8674,301
"Apr 27, 2020",58,4199,8960,324
"Apr 28, 2020",59,4365,9313,343
"Apr 29, 2020",60,4497,9689,359
"Apr 30, 2020",61,4600,10010,375
"May 01, 2020",62,4745,10348,386
"May 02, 2020",63,4810,10521,393
"May 03, 2020",64,4866,10669,404
"May 04, 2020",65,5005,11043,409
"May 05, 2020",66,5116,11434,422
"May 06, 2020",67,5226,11857,432
"May 07, 2020",68,5318,12218,442
"May 08, 2020",69,5381,12590,453
"May 09, 2020",70,5417,12802,464
"May 10, 2020",71,5442,12962,474
"May 11, 2020",72,5521,13407,481
"May 12, 2020",73,5624,14145,483
"May 13, 2020",74,5708,14707,489
"May 14, 2020",75,5813,15142,493
"May 15, 2020",76,5915,15655,499
"May 16, 2020",77,5937,15999,505
"May 17, 2020",78,5962,16310,508
"May 18, 2020",79,6040,16753,513
"May 19, 2020",80,6115,17148,516
"May 20, 2020",81,6142,17379,520
"May 21, 2020",82,6158,17474,520
"May 22, 2020",83,6168,17519,520
